연번,공원명,면적,개원일,주요시설,주요식물,지역,공원주소,주소,읍면동명,X좌표(GRS80TM),Y좌표(GRS80TM),X좌표(WGS84),Y좌표(WGS84)
103,금호근린공원,13467㎡   ,1976.5.3 ,체육관 경로당 청소년 문화회관 어린이집 그늘시렁 음수대 평의자 등의자 운동시설물 공원등 종합안내간판 등 ,수 목 : 소나무 서양측백 선주목 때죽나무 이팝나무 청단풍 왕벗나무 눈주목 사철나무 등 초 화 : 구절초 꽃범의 꼬리 노랑꽃창포 벌개미취 비비추 수호초 옥잠화 원추리 등,성동구,서울특별시 성동구 장터1길 18,성동구 장터1길 18,금호2.3가동,201676.873,449998.94,127.0189457,37.5494726
104,달맞이근린공원,46871㎡,2007.12.2,경로당 어린이놀이터 배드민턴장 화장실 음수대 공원등,수 목 : 아카시아 개나리 스트로브잣나무 느티나무 은행나무 단풍나무 무궁화 영산홍 자산홍 회양목 등 초 화 : 줄사철 맥문동 비비추 등,성동구,서울특별시 성동구 옥수동 산1-1,성동구 옥수동 산 1-1,옥수동,201846.361,449360.929,127.0212054,37.543564
105,문정근린공원,49972㎡,2006.3,조경시설 : 바닥분수 초가정자 사각정자 휴게벤치 등 기반시설 : 경화토포장로 마사토산책로 등 ,수 목 : 소나무 메타세콰이아 은행나무 등 38종 30966주,송파구,서울특별시 송파구 문정동 18-4,송파구 문정동 18-4,장지동,211543.221,443164.673,127.1275819,37.4862156
106,문화예술공원,74385㎡,1994.10.25,놀이마당 중앙광장 잔디광장 야외무대 원두막 1동 조각작품 12개소 모래놀이터 등 ,,서초구,서울특별시 서초구 바우뫼로12길 40 (양재동),서초구 바우뫼로 12길 40,양재제2동,202696.912,440809.136,127.030517,37.467654
107,세종로공원,8868㎡ ,2010.11.12,휴게?편익공간 : 야외무대 382㎡ 매점 18㎡ 디자인파라솔 2개소 야외테이블 14개 등 상징광장 : 조선시대 사헌부 및 병조터 흔적복원 490㎡ 한글글자마당 : 168㎡(전국민 공모 11172자로 구성) ,목 본 : 느티나무 은행나무 소나무 배롱나무 등8종 9553주 초 본 : 감국 구절초 등 38종 4700본,종로구,서울특별시 종로구 세종대로 189 (우) 03172,종로구 세종대로 189,사직동,197874.256,452668.898,126.9758875,37.5735
108,샘말공원(관악산),10634㎡ ,2009.9.29,조경시설 : 바닥분수 음수전 육각정자 파고라 유희시설 : 조합놀이대 1조 놀이시설 2종 3점 운동시설 : 허리돌리기 팔올리기운동 옆회전운동 등 11점 지압보도 편의시설 : 화장실 관리시설 : 관리사무실 공원등 27본 ,키큰나무 : 배롱나무 이팝나무 왕벚나무 등 9종 94주 키작은 나무 : 회양목 개쉬땅나무 박태기나무 등 11종 9425주,관악구,서울특별시 관악구 대학동 산63-1일대 샘말공원,관악구 대학동 63,대학동,194554.259,440529.444,126.938511,37.4642128
109,초안산생태공원,22113㎡,2012.4.6,조경시설 : 잔디광장 계류 생태연못 녹지대 편의시설 : 음수대 유희시설 : 조합놀이대 시소 그네 운동시설 : 생활체육시설 관리시설 : CCTV 공원등 공원안내판 유희시설 : 산책로 중앙진입로 ,수 목 : 소나무 잣나무 상수리나무 등 큰나무 23종 560주 무궁화 화살나무 등 10종 21595주 초 화 : 구절초 백리향 등 7종 4910본 잔디 14587㎡ 옥잠화 식생매트 등 8종 1173㎡ 키큰나무 : 소나무 잣나무 갈참나무 계수나무 느티나무 때죽나무 마가목 메타세쿼이아 모감 주나무 물푸레나무 산벚나무 산수유 상수리나무 수양버들 이팝나무 자작나무 청단풍 팥배나무 홍단풍 회화나무 스트로브잣나무 배롱나무 매화나무 키작은 나무 : 눈주목 사철나무 회양목 매자나무 무궁화 산수국 산철쭉 영산홍 조팝나무 화살나무 초화류 : 구절초 백리향 수호초 큰고랭이 노랑꽃창포 털부처 상록패랭이 식생매트 : 맥문동식생매트 벌개미취식생매트 옥잠화식생매트 원추리식생매트 금계국식생매트 바늘꽃(분홍색)식생매트 바늘꽃(흰색)식생매트 혼합1(수크령혼합)식생매트 잔디 : 0.4×0.6 0.18×0.18 ,도봉구,서울특별시 도봉구 창동 산24,도봉구 창동 산24,창제1동,203623.347,461020.286,127.0405382,37.6479483
110,푸른수목원,,,,,구로구,서울특별시 구로구 연동로 240(항동81-1) 푸른수목원관리사무소,구로구 연동로 240,항동,184391.452,442585.279,126.82407,37.483029
112,청계산도시자연공원,3692455㎡   ,1971.8 6,정자 4동 파고라 약수터 화장실 등,,서초구,서울특별시 서초구 원지동 산 33,서초구 원지동 33,양재제2동,204784.3515,438131.8878,127.0424726,37.4224347
113,개화근린공원,386500㎡,1997.7.9,약사사 약사사 3층석탑 미타사 약수터 6?25전사자위령탑 운동시설 등,아까시나무 리기다소나무 상수리나무 신갈나무 산벚나무 등,강서구,서울특별시 강서구 개화동 산17,강서구 개화동 산17,방화제2동,182939.2547,453560.1285,126.8068278,37.5813917
114,아차산생태공원,23450㎡,2002.3,남의광장 생태자료실 자생식물원 나비공원 습지원 황톳길 지압보도 및 약수터,,광진구,서울특별시 광진구 광장동 370,광진구 광장동 370,광장동,208869.3493,450460.3592,127.1010031,37.5517142
115,인능산도시자연공원,2400833㎡,,,,서초구,서울특별시 서초구 내곡동 산12-404,서초구 내곡동 산 12-404,내곡동,205898.0861,438764.8767,127.0666632,37.4482109
116,구룡산,2752421㎡,,,,서초구,서울특별시 서초구 염곡동 산25-1,염곡동 산 25-1,내곡동,204754,440798,127.061567,37.4689473
117,우면산도시자연공원,4180551㎡,1971.8.6,약수터 정자 화장실 등,,서초구,서울특별시 서초구 우면동 산35-1,서초구 우면동 산 35-1,양재제1동,200745.6,441329.6,127.0091324,37.470484
118,향림근린공원,147859㎡,,산책로 구민체육센터 다목적체육관 축구장 등,,은평구,서울특별시 은평구 진관동 산55,은평구 진관동 산55,진관동,193339.2,458878.4,126.9240693,37.6293824
119,신사근린공원,111650㎡,,산책로 자연학습장 놀이터 등,,은평구,서울특별시 은평구 신사동 산80-4,은평구 신사동 산 80-4,신사제2동,192065.2,454756.8,126.9102948,37.5920771
120,문화역 서울284,,,,,중구,서울특별시 중구 통일로 1 서울역,중구 통일로 1,회현동,197240.8524,450833.9113,126.9715923,37.5558722
121,광평근린공원,519782㎡ ,1971.8.6 ,사당 재실 종회당 ,신갈나무 상수리나무 아까시나무현사시나무 등,강남구,서울특별시 강남구 수서동 산10-1,강남구 수서동 산10-1,수서동,,,127.092184,37.4880445
122,청담근린공원,59347㎡ ,1990.4.30 ,청소년회관 시비광장 실개천 배드민턴장 농구장 약수터 운동광장 등 ,신갈나무 상수리나무 아까시나무 산벚나무 때죽나무 팥배나무 밤나무 쪽동백나무 등,강남구,서울특별시 강남구 청담동 66,강남구 청담동 66,청담동,,,127.052453,37.5213259
123,허브천문공원,25500㎡ ,2006.9.21 ,유리온실 관천대 전망데크 휴게데크 그늘막 별자리조명 등 ,허브 및 숙근 초화류 등 총 181종,강동구,서울특별시 강동구 둔촌동 산94,강동구 둔촌동 산94,둔촌제2동,,,127.1533951,37.5372715
124,연신내물빛공원,2560㎡ ,2001.10.31 ,일출분수 파발벽천 수로 등  ,교목 13800본 관목 205000본 초화류32종 342800본 잔디 77515㎡,은평구,서울특별시 은평구 통일로 849,은평구 통일로 849,불광제2동,,,126.9207354,37.619052
125,나들이근린공원,32000㎡ ,2007.7.18 ,잔디마당 맨발광장 뜀동산 피크닉장 야생초화원 농촌체험장 ,소나무 느티나무 왕벚나무 등 43종 20700주 ,중랑구,서울특별시 중구 망우동 산 30-7 일대,중랑구 망우동 30,망우본동,,,127.113261,37.6054218
126,숭인근린공원,45615㎡ ,1940.3.12 ,,,종로구,서울특별시 종로구 숭인동 58,종로구 숭인동 58,숭인제1동,,,127.0178267,37.5764419
127,서일대뒷산공원,631021㎡ ,1992.8.15 ,순국선열 추념탑 348㎡ 높이 22.3m ,소나무 느티나무 외 66종 109770주,중랑구,서울특별시 중랑구 면목동 산19,중랑구 면목동 산19,면목제3.8동,,,127.0987817,37.5877155
128,용마도시자연공원(사가정공원),109635㎡ ,2005.4.13 ,피크닉장 놀이터 체력단련장 체육관  ,,중랑구,서울특별시 중랑구 면목7동 산50 ,중랑구 면목7동 산50,면목제7동,,,127.095997,37.5797622
129,문화비축기지,140022㎡,2017.9.1,6개의탱크와 문화마당 녹지,,마포구,서울특별시 마포구 증산로 87,마포구 증산로 87,성산제2동,114264.4604,3712093.405,126.8932455,37.57171848
130,경춘선숲길,211392㎡,,조경시설 : 텃밭 잔디광장 철길 산책로 등 건축시설 : 무궁화호 객차(방문자센터) 기타시설 : 경춘철교 ,,노원구,서울특별시 노원구 공릉2동 산 82-2,노원구 공릉 2,공릉제2동,127.076482,37.627077,127.076482,37.627077
131,율현공원,157535㎡,2016.11.1,관리시설 : 사무실 조경시설 : 정자(4개) 조형쉼터(10개) 조형파고라(3개) 수경시설 운동시설 : 게이트볼장 다목적구장 체력단련시설 편익시설 : 화장실(2개) 음수대(3개) 근로자대기실 유희시설 : 어린이놀이터(2개) ,수목 : 소나무 이팝나무 등  110종  143069주 초화 : 맥문동 벌개미취 등  33종  286024본,강남구,서울특별시 강남구 율현동 밤고개로24길(율현동 56),강남구 율현동 24,세곡동,,,127.115594,37.472332
