호선,역명,구주소,도로명주소,주소2,읍면동명
1호선,도봉,서울특별시 도봉구 도봉동 639,서울특별시 도봉구 도봉로 170길 2,도봉구 도봉로 170길 2,도봉제2동
1호선,도봉산,서울특별시 도봉구 도봉동 18-1,서울특별시 도봉구 도봉로 964-33,도봉구 도봉로 964-33,도봉제2동
1호선,독산,서울특별시 금천구 가산동 717,서울특별시 금천구 벚꽃로 115,금천구 벚꽃로 115,독산제1동
1호선,방학,서울특별시 도봉구 방학동 728,서울특별시 도봉구 도봉로 150다길 3,도봉구 도봉로 150다길 3,방학제1동
1호선,석계,서울특별시 노원구 월계동 36-4,서울특별시 노원구 화랑로 341,노원구 화랑로 341,월계제1동
1호선,신길,서울특별시 영등포구 신길동 41-1,서울특별시 영등포구 영등포로 327,영등포구 영등포로 327,신길제1동
1호선,신도림,서울특별시 구로구 신도림동 460-26,서울특별시 구로구 새마로 지하117-21,구로구 새말로 지하117-21,신도림동
1호선,신이문,서울특별시 동대문구 이문동 7,서울특별시 동대문구 한천로 472,동대문구 한천로 472,이문제2동
1호선,영등포,서울특별시 영등포구 영등포동 618-496,서울특별시 영등포구 경인로 846,영등포구 경인로 846,영등포본동
1호선,오류동,서울특별시 구로구 오류동 66,서울특별시 구로구 경인로 20길 13,구로구 경인로 20길 13,오류제1동
1호선,온수,서울특셜시 구로구 온수동 51-7,서울특별시 구로구 부일로 872,구로구 부일로 872,수궁동
1호선,외대앞,서울특별시 동대문구 이문동 360-5,서울특별시 동대문구 휘경로 27,동대문구 휘경로 27,이문제1동
1호선,용산,서울특별시 용산구 한강로3가 40-999,서울특별시 용산구 한강대로23길 55,용산구 한강대로23길 55,한강로동
1호선,월계,서울특별시 노원구 월계동 263-1,서울특별시 노원구 월계로53길 40,노원구 월계로53길 40,월계제2동
1호선,창동,서울특별시 도봉구 창동 135-1,서울특별시 도봉구 마들로11길 77,도봉구 마들로11길 77,창제5동
1호선,회기,서울특별시 동대문구 휘경동 317-101,서울특별시 동대문구 회기로 196,동대문구 회기로 196,휘경제1동
2호선,방배,서울특별시 서초구 방배동 912-14 방배역(2호선),서울특별시 서초구 방배로 지하80(방배동),서초구 방배로 지하80,방배제3동
2호선,사당,서울특별시 동작구 사당동 1129 사당역(2호선),서울특별시 동작구 남부순환로 지하2089(사당동),동작구 남부순환로 지하2089,남현동
2호선,낙성대(강감찬),서울특별시 관악구 봉천동 1693-39 낙성대역(2호선),서울특별시 관악구 남부순환로 지하1928(봉천동),관악구 남부순환로 지하1928,행운동
2호선,서울대입구(관악구청),서울특별시 관악구 봉천동 979-2 서울대입구역(2호선),서울특별시 관악구 남부순환로 지하1822(봉천동),관악구 남부순환로 지하1822,중앙동
2호선,신림,서울특별시 관악구 신림동 1467-10 신림역(2호선),서울특별시 관악구 남부순환로 지하1614(신림동),관악구 남부순환로 지하1614,신림동
2호선,신대방,서울특별시 동작구 신대방동 643-1 신대방역(2호선),서울특별시 동작구 대림로 2(신대방동),동작구 대림로 2,신대방제1동
2호선,구로디지털단지,서울특별시 구로구 구로동 810-3 구로디지털단지역(2호선),서울특별시 구로구 도림천로 477(구로동),구로구 도림천로 477,구로제3동
2호선,대림(구로구청),서울특별시 구로구 구로동 1204 대림역(2호선),서울특별시 구로구 도림천로 351(구로동),구로구 도림천로 351,구로제4동
2호선,신도림,서울특별시 구로구 신도림동 460-26 신도림역(2호선),서울특별시 구로구 새말로 지하 117-21(신도림동),구로구 새말로 지하 117-21,신도림동
2호선,문래,서울특별시 영등포구 문래동3가 68-1 문래역(2호선),서울특별시 영등포구 당산로 지하28(문래동3가),영등포구 당산로 지하28,문래동
2호선,영등포구청,서울특별시 영등포구 당산동3가 270-1 영등포구청역(2호선),서울특별시 영등포구 당산로 지하121(당산동3가),영등포구 당산로 지하121,당산제1동
2호선,당산,서울특별시 영등포구 당산동 6가 323-1 당산역(2호선),서울특별시 영등포구 당산로 229(당산동6가),영등포구 당산로 229,당산제2동
2호선,합정,서울특별시 마포구 서교동 393 합정역(2호선),서울특별시 마포구 양화로 지하55(서교동),마포구 양화로 지하55,서교동
2호선,홍대입구,서울특별시 마포구 동교동 165 홍대입구역(2호선),서울특별시 마포구 양화로 지하160(동교동),마포구 양화로 지하160,서교동
2호선,신촌(지하),서울특별시 마포구 노고산동 31-11 신촌역(2호선),서울특별시 마포구 신촌로 지하90(노고산동),마포구 신촌로 지하90,신촌동
2호선,이대,서울특별시 마포구 염리동 8-85 이대역(2호선),서울특별시 마포구 신촌로 지하180(염리동),마포구 신촌로 지하180,대흥동
2호선,아현,서울특별시 마포구 아현동 354-23 아현역(2호선),서울특별시 마포구 신촌로 지하270(아현동),마포구 신촌로 지하270,아현동
2호선,충정로(경기대입구),서울특별시 서대문구 충정로3가 319-1 충정로역(2호선),서울특별시 서대문구 서소문로 지하17(충정로3가),서대문구 서소문로 지하17,충현동
2호선,용답,서울특별시 성동구 용답동 127 용답역(2호선),서울특별시 성동구 용답길 86(용답동),성동구 용답길 86,사근동
2호선,신답,서울특별시 성동구 용답동 129-2 신답역(2호선),서울특별시 성동구 천호대로 232(용답동),성동구 천호대로 232,용답동
2호선,신설동,서울특별시 동대문구 신설동 76-5 신설동역(2호선),서울특별시 동대문구 왕산로 지하 1(신설동),동대문구 왕산로 지하 1,용신동
2호선,도림천,서울특별시 구로구 신도림동 323-16 도림천역(2호선),서울특별시 구로구 경인로67길 160(신도림동),구로구 경인로67길 160,신도림동
2호선,양천구청,서울특별시 양천구 신정동 276-7 양천구청역(2호선),서울특별시 양천구 목동로3길 지하33(신정동),양천구 목동로3길 지하33,신정제7동
2호선,신정네거리,서울특별시 양천구 신정동 1231 신정네거리역(2호선),서울특별시 양천구 중앙로 지하261(신정동),양천구 중앙로 지하261,신정제3동
2호선,용두(동대문구청),서울특별시 동대문구 용두동 47-1 용두역(2호선),서울특별시 동대문구 천호대로 지하129(용두동),동대문구 천호대로 지하129,용신동
3호선,구파발,서울특별시 은평구 진관동 67-26 구파발역(3호선),서울특별시 은평구 진관2로 지하15-25 (진관동),은평구 진관2로 지하15-25 ,진관동
3호선,연신내,서울특별시 은평구 갈현동 397 연신내역(3호선),서울특별시 은평구 통일로 지하849(갈현동),은평구 통일로 지하849,불광제2동
3호선,불광,서울특별시 은평구 대조동 13-10 불광역(3호선),서울특별시 은평구 통일로 지하723-1(대조동),은평구 통일로 지하723-1,대조동
3호선,녹번,서울특별시 은평구 녹번동 55 녹번역(3호선),서울특별시 은평구 통일로 지하602-1(녹번동),은평구 통일로 지하602-1,녹번동
3호선,홍제,서울특별시 서대문구 홍제동 161-1 홍제역(3호선),서울특별시 서대문구 통일로 지하440-1(홍제동),서대문구 통일로 지하440-1,홍제제3동
3호선,무악재,서울특별시 서대문구 홍제동 26-1 무악재역(3호선),서울특별시 서대문구 통일로 지하361(홍제동),서대문구 통일로 지하361,홍제제2동
3호선,독립문,서울특별시 서대문구 현저동 101 독립문역(3호선),서울특별시 서대문구 통일로 지하247(현저동),서대문구 통일로 지하247,천연동
3호선,경복궁(정부서울청사),서울특별시 종로구 적선동 81-1 경복궁역(3호선),서울특별시 종로구 사직로 지하130(적선동),종로구 사직로 지하130,사직동
3호선,안국,서울특별시 종로구 안국동 73-1 안국역(3호선),서울특별시 종로구 율곡로 지하62(안국동),종로구 율곡로 지하62,종로1.2.3.4가동
3호선,종로3가,서울특별시 종로구 묘동 20-5 종로3가역(3호선),서울특별시 종로구 돈화문로 지하30(묘동),종로구 돈화문로 지하30,종로1.2.3.4가동
3호선,을지로3가,서울특별시 중구 을지로3가 282-8 을지로3가역(3호선),서울특별시 중구 을지로 지하129(을지로3가),중구 을지로 지하129,을지로동
3호선,충무로,서울특별시 중구 필동2가 16-2 충무로역(3호선),서울특별시 중구 퇴계로 지하214(필동2가),중구 퇴계로 지하214,필동
3호선,동대입구,서울특별시 중구 장충동2가 199-3 동대입구역(3호선),서울특별시 중구 동호로 지하256(장충동2가),중구 동호로 지하256,장충동
3호선,약수,서울특별시 중구 신당동 369-44 약수역(3호선),서울특별시 중구 다산로 지하122(신당동),중구 다산로 지하122,약수동
3호선,금호,서울특별시 성동구 금호동4가 1470 금호역(3호선),서울특별시 성동구 동호로 지하104(금호동4가),성동구 동호로 지하104,금호4가동
3호선,옥수,서울특별시 성동구 옥수동 168-1 옥수역(3호선),서울특별시 성동구 동호로 21(옥수동),성동구 동호로 21,옥수동
3호선,압구정,서울특별시 강남구 신사동 668 압구정역(3호선),서울특별시 강남구 압구정로 지하172(신사동),강남구 압구정로 지하172,신사동
3호선,신사,서울특별시 강남구 신사동 667 신사역(3호선),서울특별시 강남구 도산대로 지하102(신사동),강남구 도산대로 지하102,논현제1동
3호선,잠원,서울특별시 서초구 잠원동 100-1 잠원역(3호선),서울특별시 서초구 잠원로4길 지하46(잠원동),서초구 잠원로4길 지하46,잠원동
3호선,고속터미널,서울특별시 서초구 반포동 19-11 고속터미널역(3호선),서울특별시 서초구 신반포로 지하188(반포동),서초구 신반포로 지하188,반포제4동
3호선,"교대(법원, 검찰청)",서울특별시 서초구 서초동 1748-4 교대역(3호선),서울특별시 서초구 서초대로 지하294(서초동),서초구 서초대로 지하294,서초제1동
3호선,남부터미널(예술의전당),서울특별시 서초구 서초동 1748-30 남부터미널역(3호선),서울특별시 서초구 서초중앙로 지하31(서초동),서초구 서초중앙로 지하31,서초제1동
3호선,양재(서초구청),서울특별시 서초구 서초동 1366-9 양재역(3호선),서울특별시 서초구 남부순환로 지하2585(서초동),서초구 남부순환로 지하2585,양재제1동
3호선,매봉,서울특별시 강남구 도곡동 179-2 매봉역(3호선),서울특별시 강남구 남부순환로 지하2744(도곡동),강남구 남부순환로 지하2744,도곡제1동
3호선,도곡,서울특별시 강남구 도곡동 339-2 도곡역(3호선),서울특별시 강남구 남부순환로 지하2814(도곡동),강남구 남부순환로 지하2814,도곡제2동
3호선,대치,서울특별시 강남구 대치동 317-3 대치역(3호선),서울특별시 강남구 남부순환로 지하2952(대치동),강남구 남부순환로 지하2952,대치제2동
3호선,학여울,서울특별시 강남구 대치동 514-3 학여울역(3호선),서울특별시 강남구 남부순환로 지하3104(대치동),강남구 남부순환로 지하3104,대치제2동
3호선,대청,서울특별시 강남구 일원동 700-9 대청역(3호선),서울특별시 강남구 일원로 지하2(일원동),강남구 일원로 지하2,개포제3동
3호선,일원,서울특별시 강남구 일원동 717 일원역(3호선),서울특별시 강남구 일원로 지하121(일원동),강남구 일원로 지하121,일원본동
3호선,수서,서울특별시 강남구 수서동 728 수서역(3호선),서울특별시 강남구 광평로 지하270(수서동),강남구 광평로 지하270,수서동
3호선,가락시장,서울특별시 송파구 가락동 184-23 가락시장역(3호선),서울특별시 송파구 송파대로 지하257(가락동),송파구 송파대로 지하257,가락제1동
3호선,경찰병원,서울특별시 송파구 가락동 10-15 경찰병원역(3호선),서울특별시 송파구 중대로 지하149(가락동),송파구 중대로 지하149,가락본동
3호선,오금,서울특별시 송파구 오금동 44-2 오금역(3호선),서울특별시 송파구 오금로 지하321(오금동),송파구 오금로 지하321,오금동
4호선,당고개,서울특별시 노원구 상계동 111 당고개역(4호선),서울특별시 노원구 상계로 305(상계동),노원구 상계로 305,상계제3.4동
4호선,상계,서울특별시 노원구 상계동 156-203 상계역(4호선),서울특별시 노원구 상계로 182(상계동),노원구 상계로 182,상계제5동
4호선,노원,서울특별시 노원구 상계동 602-5 노원역(4호선),서울특별시 노원구 상계로 69-1(상계동),노원구 상계로 69-1,상계제2동
4호선,창동,서울특별시 도봉구 창동 135-1 창동역(4호선),서울특별시 도봉구 마들로11길 77(창동),도봉구 마들로11길 77,창제5동
4호선,쌍문,서울특별시 도봉구 창동 703-4 쌍문역(4호선),서울특별시 도봉구 도봉로 지하 486-1(창동),도봉구 도봉로 지하 486-1,창제1동
4호선,수유(강북구청),서울특별시 강북구 수유동 140 수유역(4호선),서울특별시 강북구 도봉로 지하338(수유동),강북구 도봉로 지하338,수유제3동
4호선,미아(서울사이버대학),서울특별시 강북구 미아동 194-1 미아역(4호선),서울특별시 강북구 도봉로 지하198(미아동),강북구 도봉로 지하198,미아동
4호선,미아사거리 ,서울특별시 강북구 미아동 66-1 미아사거리역(4호선),서울특별시 강북구 도봉로 지하50(미아동),강북구 도봉로 지하50,송중동
4호선,길음,서울특별시 성북구 길음동 877-66 길음역(4호선),서울특별시 성북구 동소문로 지하248(길음동),성북구 동소문로 지하248,길음제1동
4호선,성신여대입구(돈암),서울특별시 성북구 동선동4가 1 성신여대입구역(4호선),서울특별시 성북구 동소문로 지하102(동선동4가),성북구 동소문로 지하102,삼선동
4호선,한성대입구(삼선교),서울특별시 성북구 삼선동1가 14 한성대입구역(4호선),서울특별시 성북구 삼선교로 지하1(삼선동1가),성북구 삼선교로 지하1,삼선동
4호선,혜화,서울특별시 종로구 명륜4가 96-5 혜화역(4호선),서울특별시 종로구 대학로 지하120(명륜4가),종로구 대학로 지하120,이화동
4호선,동대문,서울특별시 종로구 종로6가 287-1 동대문역(4호선),서울특별시 종로구 율곡로 지하308(종로6가),종로구 율곡로 지하308,종로5.6가동
4호선,동대문역사문화공원(DDP),서울특별시 중구 광희동2가 9 동대문역사문화공원역(4호선),서울특별시 중구 장충단로 지하230(광희동2가),중구 장충단로 지하230,광희동
4호선,충무로,서울특별시 중구 필동2가 16-2 충무로역(4호선),서울특별시 중구 퇴계로 지하214(필동2가),중구 퇴계로 지하214,필동
4호선,명동,서울특별시 중구 충무로2가 109-2 명동역(4호선),서울특별시 중구 퇴계로 지하126(충무로2가),중구 퇴계로 지하126,명동
4호선,회현(남대문시장),서울특별시 중구 남창동 64-1 회현역(4호선),서울특별시 중구 퇴계로 지하54(남창동),중구 퇴계로 지하54,회현동
4호선,서울,서울특별시 용산구 동자동 14-151 서울역 (4호선),서울특별시 용산구 한강대로 지하392(동자동),용산구 한강대로 지하392,남영동
4호선,숙대입구(갈월),서울특별시 용산구 갈월동 16-7 숙대입구역(4호선),서울특별시 용산구 한강대로 지하306(갈월동),용산구 한강대로 지하306,남영동
4호선,삼각지,서울특별시 용산구 한강로1가 228-1 삼각지역(4호선),서울특별시 용산구 한강대로 지하180(한강로1가),용산구 한강대로 지하180,한강로동
4호선,신용산,서울특별시 용산구 한강로2가 181 신용산역(4호선),서울특별시 용산구 한강대로 지하112(한강로2가),용산구 한강대로 지하112,한강로동
