행정구역ID,행정구역,세대당공원면적
1144073000,성산제2동,9.41
1144074000,상암동,197.46
1147051000,목제1동,2.27
1147052000,목제2동,19.96
1147053000,목제3동,0.27
1147054000,목제4동,0.37
1147055000,목제5동,5.16
1147056000,신월제1동,0.49
1147057000,신월제2동,0.35
1147058000,신월제3동,27.13
1147059000,신월제4동,0.73
1147060000,신월제5동,0.53
1147061000,신월제6동,1.7
1147061100,신월제7동,12.11
1147062000,신정제1동,4.2
1147063000,신정제2동,0.3
1147064000,신정제3동,93.84
1147065000,신정제4동,0.6
1147067000,신정제6동,5.99
1147068000,신정제7동,12.55
1150051000,염창동,7.36
1150052000,등촌제1동,0.32
1150053000,등촌제2동,0
1150053500,등촌제3동,1.58
1150054000,화곡제1동,1.68
1150055000,화곡제2동,0.37
1150056000,화곡제3동,0.59
1150057000,화곡제4동,0.51
1150059000,화곡본동,61.53
1150059100,화곡제6동,6.67
1150059300,화곡제8동,1
1150060300,가양제1동,68.5
1150060400,가양제2동,6.99
1150060500,가양제3동,0.6
1150061100,발산제1동,28.07
1150061500,우장산동,23.05
1150062000,공항동,4.01
1150063000,방화제1동,2.55
1150064000,방화제2동,1
1150064100,방화제3동,57.49
1153051000,신도림동,0.86
1153052000,구로제1동,0
1153053000,구로제2동,0.53
1153054000,구로제3동,0.16
1153055000,구로제4동,0.82
1153056000,구로제5동,0.39
1153059500,가리봉동,0
1153072000,고척제1동,0.04
1153073000,고척제2동,23.1
1153074000,개봉제1동,0.24
1153075000,개봉제2동,0.14
1153076000,개봉제3동,46.83
1153077000,오류제1동,97.61
1153078000,오류제2동,12.52
1153079000,수궁동,0.87
1154551000,가산동,0.27
1154561000,독산제1동,2.18
1154562000,독산제2동,0.65
1154563000,독산제3동,2.59
1154564000,독산제4동,4.68
1154567000,시흥제1동,0.5
1154568000,시흥제2동,0
1154569000,시흥제3동,2.17
1154570000,시흥제4동,1.46
1154571000,시흥제5동,1.29
1156051500,영등포본동,6.55
1156053500,영등포동,0.86
1156054000,여의동,18.89
1156055000,당산제1동,1.05
1156056000,당산제2동,0.6
1156058500,도림동,0.53
1156060500,문래동,2.35
1156061000,양평제1동,0.16
1156062000,양평제2동,12.53
1156063000,신길제1동,5.7
1156065000,신길제3동,0.22
1156066000,신길제4동,0
1156067000,신길제5동,5.11
1156068000,신길제6동,0.1
1156069000,신길제7동,0.16
1156070000,대림제1동,1.16
1156071000,대림제2동,0.24
1156072000,대림제3동,1.21
1159051000,노량진제1동,8.73
1159052000,노량진제2동,0
1159053000,상도제1동,0.16
1159054000,상도제2동,0.62
1159055000,상도제3동,0.55
1159056000,상도제4동,0.02
1159060500,흑석동,27.15
1159062000,사당제1동,0.17
1159063000,사당제2동,174.93
1159064000,사당제3동,108.44
1159065000,사당제4동,0.45
1159065100,사당제5동,0.44
1159066000,대방동,24.54
1159067000,신대방제1동,0.64
1159068000,신대방제2동,45.57
1162052500,보라매동,0.09
1162054500,청림동,0
1162056500,성현동,0
1162057500,행운동,4.09
1162058500,낙성대동,1.04
1162059500,청룡동,0.42
1162060500,은천동,28.41
1162061500,중앙동,0.29
1162062500,인헌동,0.33
1162063000,남현동,0.62
1162064500,서원동,9.52
1162065500,신원동,0.04
1162066500,서림동,0.27
1162068500,신4동,0.14
1162069500,신림동,0.12
1162071500,난향동,0.15
1162072500,조원동,0.19
1162073500,대학동,0.79
1162074500,삼성동,0.32
1162076500,미성동,6.7
1162077500,난곡동,0.94
1165051000,서초제1동,0.37
1165052000,서초제2동,0.35
1165053000,서초제3동,0.51
1165053100,서초제4동,0.58
1165054000,잠원동,1.81
1165055000,반포본동,2.79
1165056000,반포제1동,0.45
1165057000,반포제2동,5.92
1165058000,반포제3동,1.64
1165058100,반포제4동,1.15
1165059000,방배본동,0.12
1165060000,방배제1동,0.16
1165061000,방배제2동,70.92
1165062000,방배제3동,27.95
1165062100,방배제4동,0.7
1165065100,양재제1동,261.05
1165065200,양재제2동,39.05
1165066000,내곡동,708.16
1168051000,신사동,3.93
1168052100,논현제1동,2.21
1168053100,논현제2동,0.69
1168054500,압구정동,3.7
1168056500,청담동,6.51
1168058000,삼성제1동,55.72
1168059000,삼성제2동,0.1
1168060000,대치제1동,7.95
1168061000,대치제2동,0.39
1168063000,대치제4동,0.32
1168064000,역삼제1동,2.37
1168065000,역삼제2동,0.64
1168065500,도곡제1동,33
1168065600,도곡제2동,22.65
1168066000,개포제1동,0
1168067000,개포제2동,16.95
1168069000,개포제4동,0.21
1168070000,세곡동,30
1168072000,일원본동,347.99
1168073000,일원제1동,1.87
1168074000,개포제3동,3.82
1168075000,수서동,1.83
1171051000,풍납제1동,3.65
1171052000,풍납제2동,0.66
1171053100,거여제1동,11.62
1171053200,거여제2동,2.4
1171054000,마천제1동,6.33
1171055000,마천제2동,24.1
1171056100,방이제1동,5.56
1171056200,방이제2동,1.09
1171056600,오륜동,242.93
1171057000,오금동,21.77
1171058000,송파제1동,1.51
1171059000,송파제2동,2.78
1171060000,석촌동,3.08
1171061000,삼전동,10.84
1171062000,가락본동,4.97
1171063100,가락제1동,2.12
1171063200,가락제2동,50.11
1171064100,문정제1동,3.35
1171064200,문정제2동,8.51
1171064600,장지동,7.07
1171064700,위례동,26.86
1171065000,잠실본동,0.95
1171067000,잠실제2동,2.05
1171068000,잠실제3동,2.76
1171069000,잠실제4동,0
1171071000,잠실제6동,51.85
1171072000,잠실제7동,18.97
1174051500,강일동,18.65
1174052000,상일제1동,161.08
1174052500,상일제2동,161.08
1174053000,명일제1동,4.33
1174054000,명일제2동,0.67
1174055000,고덕제1동,4.72
1174056000,고덕제2동,35.63
1174057000,암사제1동,0.55
1174058000,암사제2동,0.44
1174059000,암사제3동,1.79
1174060000,천호제1동,0.34
1174061000,천호제2동,1.99
1174062000,천호제3동,0.19
1174064000,성내제1동,1.56
1174065000,성내제2동,0.18
1174066000,성내제3동,0.35
1174068500,길동,4.11
1174069000,둔촌제1동,0
1174070000,둔촌제2동,58.91
